password,name,phone
1234,Alex,078452837
234,Andrei,078452837
Pass,Catalin,0783838
Parola,Cristian,0783838
Secure123,Diana,078912345
P@ssword,George,078990876
Secret567,Emma,078876543
HiddenPwd,Felix,078112233
Access321,Hannah,078998877
Confidential789,Igor,078334455
TopSecret987,Isabella,078556677
LockedOut456,Jack,078443322
Protected135,Julia,078667788
Restricted246,Kevin,078778899
Safe789,Lily,078112233
Shielded234,Mia,078334455
Guarded876,Nathan,078556677
KeyedIn345,Nora,078778899
Code123,Oliver,078990876
Vaulted456,Olivia,078667788
Encrypted678,Oscar,078443322
